,name,country,subcountry,geonameid,lat,lng
12109,Shingu,Japan,Wakayama,1847947,33.7241048,135.9924107
12110,Atsugi,Japan,Kanagawa,1847963,35.4430818,139.3624889
12111,Akashi,Japan,Hyogo,1847966,34.6431066,134.9971787
12112,Zushi,Japan,Kanagawa,1847968,35.2956059,139.5804228
12113,Zama,Japan,Kanagawa,1848004,35.4885872,139.4076731
12114,Yuza,Japan,Yamagata,1848016,39.0146158,139.9073521
12115,Gero,Japan,Gifu,1848055,35.8058817,137.2441002
12116,Yukuhashi,Japan,Fukuoka,1848087,33.7287727,130.982967
12117,Yuki,Japan,Ibaraki,1848096,36.3054165,139.8766414
12118,Yugawara,Japan,Kanagawa,1848113,35.1479639,139.1083167
12119,Yoshikawa,Japan,Saitama,1848188,35.8911519,139.841375
12120,Yoshii,Japan,Gunma,1848194,36.2559553,138.9845412
12121,Yoshida-kasugacho,Japan,Niigata,1848210,37.6837922,138.8825459
12122,Yorii,Japan,Saitama,1848243,36.1183484,139.1930115
12123,Yono,Japan,Saitama,1848254,35.898488,139.630904
12124,Yonago,Japan,Tottori,1848277,35.4280717,133.3309447
12125,Yokosuka,Japan,Kanagawa,1848313,35.2813412,139.6722005
12126,Yokohama,Japan,Kanagawa,1848354,35.4437078,139.6380256
12127,Yokkaichi,Japan,Mie,1848373,34.9651567,136.6244847
12128,Youkaichi,Japan,Shiga,1848382,35.11299169999999,136.1996682
12129,Yawata,Japan,Kyoto,1848439,34.8755551,135.7076209
12130,Yatsushiro,Japan,Kumamoto,1848445,32.5083871,130.6020961
12131,Yatsuomachi-higashikumisaka,Japan,Toyama,1848447,36.567208,137.1294217
12132,Yasugicho,Japan,Shimane,1848482,35.3561081,133.2779384
12133,Yashiro,Japan,Hyogo,1848498,34.9174953,134.968804
12134,Yashio-shi,Japan,Saitama,1848499,35.822536,139.8391748
12135,Yao,Japan,osaka,1848522,34.6268635,135.6009775
12136,Yanai,Japan,Yamaguchi,1848550,33.9638333,132.1015969
12137,Yanagawa,Japan,Fukuoka,1848573,33.1630889,130.4057531
12139,Yamaguchi,Japan,Yamaguchi,1848689,34.178496,131.4737269
12140,Yamaga,Japan,Kumamoto,1848705,33.0175778,130.6913646
12141,Yaizu,Japan,Shizuoka,1848774,34.8669202,138.3231893
12142,Yaita,Japan,Tochigi,1848776,36.8066862,139.924054
12143,Wakimachi,Japan,Tokushima,1848933,34.0662852,134.1673859
12144,Utsunomiya,Japan,Tochigi,1849053,36.5551124,139.8828072
12145,Uto,Japan,Kumamoto,1849069,32.6879986,130.6597212
12146,Usuki,Japan,Oita,1849094,33.1260115,131.8051243
12147,Ushibuka,Japan,Kumamoto,1849154,32.215706,130.02977
12148,Ureshinomachi-shimojuku,Japan,Saga,1849183,33.1280839,130.0601144
12149,Urayasu,Japan,Tokyo,1849186,35.653153,139.9019174
12150,Uozu,Japan,Toyama,1849237,36.8273674,137.4092147
12151,Umi,Japan,Fukuoka,1849299,33.5677786,130.5111124
12152,Ujiie,Japan,Tochigi,1849367,36.6839265,139.9649414
12153,Uji,Japan,Kyoto,1849372,34.8844606,135.7998544
12154,Uenohara,Japan,Yamanashi,1849407,35.6302591,139.1085986
12155,Ueno-ebisumachi,Japan,Mie,1849414,34.7611712,136.1329882
12156,Ueki,Japan,Kumamoto,1849424,32.2795526,130.9717334
